role,permissions
roles/appengineflex.serviceAgent,billing.accounts.get;cloudbuild.builds.create;cloudbuild.builds.get;compute.addresses.create;compute.addresses.delete;compute.addresses.get;compute.addresses.list;compute.addresses.use;compute.autoscalers.create;compute.autoscalers.delete;compute.autoscalers.get;compute.autoscalers.update;compute.backendServices.create;compute.backendServices.delete;compute.backendServices.get;compute.backendServices.list;compute.backendServices.update;compute.backendServices.use;compute.disks.list;compute.firewalls.create;compute.firewalls.delete;compute.firewalls.get;compute.firewalls.list;compute.firewalls.update;compute.forwardingRules.create;compute.forwardingRules.delete;compute.forwardingRules.get;compute.globalAddresses.create;compute.globalAddresses.delete;compute.globalAddresses.get;compute.globalAddresses.use;compute.globalForwardingRules.create;compute.globalForwardingRules.delete;compute.globalForwardingRules.get;compute.globalOperations.get;compute.healthChecks.create;compute.healthChecks.delete;compute.healthChecks.get;compute.healthChecks.update;compute.healthChecks.useReadOnly;compute.httpHealthChecks.create;compute.httpHealthChecks.delete;compute.httpHealthChecks.get;compute.httpHealthChecks.use;compute.httpHealthChecks.useReadOnly;compute.httpsHealthChecks.create;compute.httpsHealthChecks.delete;compute.httpsHealthChecks.get;compute.httpsHealthChecks.update;compute.httpsHealthChecks.use;compute.httpsHealthChecks.useReadOnly;compute.images.get;compute.images.useReadOnly;compute.instanceGroupManagers.create;compute.instanceGroupManagers.delete;compute.instanceGroupManagers.get;compute.instanceGroupManagers.update;compute.instanceGroupManagers.use;compute.instanceGroups.create;compute.instanceGroups.delete;compute.instanceGroups.get;compute.instanceGroups.update;compute.instanceTemplates.create;compute.instanceTemplates.delete;compute.instanceTemplates.get;compute.instanceTemplates.useReadOnly;compute.instances.attachDisk;compute.instances.create;compute.instances.delete;compute.instances.detachDisk;compute.instances.get;compute.instances.getGuestAttributes;compute.instances.getSerialPortOutput;compute.instances.list;compute.instances.reset;compute.instances.setLabels;compute.instances.setMetadata;compute.instances.setTags;compute.instances.start;compute.instances.stop;compute.instances.use;compute.machineTypes.get;compute.networks.create;compute.networks.delete;compute.networks.get;compute.networks.updatePolicy;compute.networks.use;compute.networks.useExternalIp;compute.projects.get;compute.projects.setCommonInstanceMetadata;compute.regionBackendServices.create;compute.regionBackendServices.delete;compute.regionBackendServices.get;compute.regionBackendServices.list;compute.regionBackendServices.update;compute.regionBackendServices.use;compute.regionOperations.get;compute.regions.get;compute.subnetworks.delete;compute.targetHttpProxies.create;compute.targetHttpProxies.delete;compute.targetHttpProxies.get;compute.targetHttpProxies.use;compute.targetHttpsProxies.create;compute.targetHttpsProxies.delete;compute.targetHttpsProxies.get;compute.targetHttpsProxies.setSslCertificates;compute.targetHttpsProxies.use;compute.urlMaps.create;compute.urlMaps.delete;compute.urlMaps.get;compute.urlMaps.update;compute.urlMaps.use;compute.zoneOperations.get;compute.zoneOperations.list;compute.zones.get;compute.zones.list;deploymentmanager.compositeTypes.get;deploymentmanager.deployments.create;deploymentmanager.deployments.delete;deploymentmanager.deployments.get;deploymentmanager.deployments.list;deploymentmanager.deployments.update;deploymentmanager.manifests.get;deploymentmanager.manifests.list;deploymentmanager.operations.get;deploymentmanager.operations.list;deploymentmanager.typeProviders.create;deploymentmanager.typeProviders.get;iam.serviceAccounts.actAs;iam.serviceAccounts.get;iam.serviceAccounts.getAccessToken;iam.serviceAccounts.signBlob;iam.serviceAccounts.signJwt;logging.logEntries.create;logging.logMetrics.create;logging.logMetrics.delete;logging.logMetrics.get;logging.logMetrics.update;resourcemanager.organizations.get;resourcemanager.projects.get;resourcemanager.projects.getIamPolicy;resourcemanager.projects.setIamPolicy;storage.buckets.create;storage.buckets.delete;storage.buckets.get;storage.buckets.getIamPolicy;storage.buckets.setIamPolicy;storage.buckets.update;storage.objects.create;storage.objects.delete;storage.objects.get;storage.objects.getIamPolicy;storage.objects.list
roles/appengine.serviceAdmin,appengine.applications.get;appengine.instances.delete;appengine.instances.get;appengine.instances.list;appengine.operations.get;appengine.operations.list;appengine.services.delete;appengine.services.get;appengine.services.list;appengine.services.update;appengine.versions.delete;appengine.versions.get;appengine.versions.list;appengine.versions.update;resourcemanager.projects.get;resourcemanager.projects.list
roles/artifactregistry.admin,artifactregistry.files.get;artifactregistry.files.list;artifactregistry.packages.delete;artifactregistry.packages.get;artifactregistry.packages.list;artifactregistry.repositories.create;artifactregistry.repositories.delete;artifactregistry.repositories.deleteArtifacts;artifactregistry.repositories.downloadArtifacts;artifactregistry.repositories.get;artifactregistry.repositories.getIamPolicy;artifactregistry.repositories.list;artifactregistry.repositories.setIamPolicy;artifactregistry.repositories.update;artifactregistry.repositories.uploadArtifacts;artifactregistry.tags.create;artifactregistry.tags.delete;artifactregistry.tags.get;artifactregistry.tags.list;artifactregistry.tags.update;artifactregistry.versions.delete;artifactregistry.versions.get;artifactregistry.versions.list
roles/artifactregistry.reader,artifactregistry.files.get;artifactregistry.files.list;artifactregistry.packages.get;artifactregistry.packages.list;artifactregistry.repositories.downloadArtifacts;artifactregistry.repositories.get;artifactregistry.repositories.list;artifactregistry.tags.get;artifactregistry.tags.list;artifactregistry.versions.get;artifactregistry.versions.list
roles/artifactregistry.repoAdmin,artifactregistry.files.get;artifactregistry.files.list;artifactregistry.packages.delete;artifactregistry.packages.get;artifactregistry.packages.list;artifactregistry.repositories.deleteArtifacts;artifactregistry.repositories.downloadArtifacts;artifactregistry.repositories.get;artifactregistry.repositories.list;artifactregistry.repositories.uploadArtifacts;artifactregistry.tags.create;artifactregistry.tags.delete;artifactregistry.tags.get;artifactregistry.tags.list;artifactregistry.tags.update;artifactregistry.versions.delete;artifactregistry.versions.get;artifactregistry.versions.list
roles/artifactregistry.writer,artifactregistry.files.get;artifactregistry.files.list;artifactregistry.packages.get;artifactregistry.packages.list;artifactregistry.repositories.downloadArtifacts;artifactregistry.repositories.get;artifactregistry.repositories.list;artifactregistry.repositories.uploadArtifacts;artifactregistry.tags.create;artifactregistry.tags.get;artifactregistry.tags.list;artifactregistry.tags.update;artifactregistry.versions.get;artifactregistry.versions.list
roles/automl.admin,automl.annotationSpecs.create;automl.annotationSpecs.delete;automl.annotationSpecs.get;automl.annotationSpecs.list;automl.annotationSpecs.update;automl.annotations.approve;automl.annotations.create;automl.annotations.list;automl.annotations.manipulate;automl.annotations.reject;automl.columnSpecs.get;automl.columnSpecs.list;automl.columnSpecs.update;automl.datasets.create;automl.datasets.delete;automl.datasets.export;automl.datasets.get;automl.datasets.getIamPolicy;automl.datasets.import;automl.datasets.list;automl.datasets.setIamPolicy;automl.datasets.update;automl.examples.delete;automl.examples.get;automl.examples.list;automl.humanAnnotationTasks.create;automl.humanAnnotationTasks.delete;automl.humanAnnotationTasks.get;automl.humanAnnotationTasks.list;automl.locations.get;automl.locations.getIamPolicy;automl.locations.list;automl.locations.setIamPolicy;automl.modelEvaluations.create;automl.modelEvaluations.get;automl.modelEvaluations.list;automl.models.create;automl.models.delete;automl.models.deploy;automl.models.export;automl.models.get;automl.models.getIamPolicy;automl.models.list;automl.models.predict;automl.models.setIamPolicy;automl.models.undeploy;automl.operations.cancel;automl.operations.delete;automl.operations.get;automl.operations.list;automl.tableSpecs.get;automl.tableSpecs.list;automl.tableSpecs.update;resourcemanager.projects.get;resourcemanager.projects.list;serviceusage.services.list
roles/automl.editor,automl.annotationSpecs.create;automl.annotationSpecs.delete;automl.annotationSpecs.get;automl.annotationSpecs.list;automl.annotationSpecs.update;automl.annotations.approve;automl.annotations.create;automl.annotations.list;automl.annotations.manipulate;automl.annotations.reject;automl.columnSpecs.get;automl.columnSpecs.list;automl.columnSpecs.update;automl.datasets.create;automl.datasets.delete;automl.datasets.export;automl.datasets.get;automl.datasets.import;automl.datasets.list;automl.datasets.update;automl.examples.delete;automl.examples.get;automl.examples.list;automl.humanAnnotationTasks.create;automl.humanAnnotationTasks.delete;automl.humanAnnotationTasks.get;automl.humanAnnotationTasks.list;automl.locations.get;automl.locations.list;automl.modelEvaluations.create;automl.modelEvaluations.get;automl.modelEvaluations.list;automl.models.create;automl.models.delete;automl.models.deploy;automl.models.export;automl.models.get;automl.models.list;automl.models.predict;automl.models.undeploy;automl.operations.cancel;automl.operations.delete;automl.operations.get;automl.operations.list;automl.tableSpecs.get;automl.tableSpecs.list;automl.tableSpecs.update;resourcemanager.projects.get;resourcemanager.projects.list;serviceusage.services.list
roles/automl.predictor,automl.models.predict;resourcemanager.projects.get;resourcemanager.projects.list
roles/automlrecommendations.admin,automlrecommendations.apiKeys.create;automlrecommendations.apiKeys.delete;automlrecommendations.apiKeys.list;automlrecommendations.catalogItems.create;automlrecommendations.catalogItems.delete;automlrecommendations.catalogItems.get;automlrecommendations.catalogItems.list;automlrecommendations.catalogItems.update;automlrecommendations.catalogs.getStats;automlrecommendations.catalogs.list;automlrecommendations.eventStores.getStats;automlrecommendations.events.create;automlrecommendations.events.list;automlrecommendations.events.purge;automlrecommendations.placements.getStats;automlrecommendations.placements.list;automlrecommendations.recommendations.list;resourcemanager.projects.get;resourcemanager.projects.list;serviceusage.services.get;serviceusage.services.list
