role,permissions
roles/endpoints.portalAdmin,endpoints.portals.attachCustomDomain;endpoints.portals.detachCustomDomain;endpoints.portals.listCustomDomains;endpoints.portals.update;resourcemanager.projects.get;resourcemanager.projects.list;servicemanagement.services.get
roles/endpointsportal.serviceAgent,servicemanagement.services.get;servicemanagement.services.list;source.repos.get
roles/errorreporting.admin,cloudnotifications.activities.list;errorreporting.applications.list;errorreporting.errorEvents.create;errorreporting.errorEvents.delete;errorreporting.errorEvents.list;errorreporting.groupMetadata.get;errorreporting.groupMetadata.update;errorreporting.groups.list
roles/errorreporting.user,cloudnotifications.activities.list;errorreporting.applications.list;errorreporting.errorEvents.delete;errorreporting.errorEvents.list;errorreporting.groupMetadata.get;errorreporting.groupMetadata.update;errorreporting.groups.list
roles/errorreporting.viewer,cloudnotifications.activities.list;errorreporting.applications.list;errorreporting.errorEvents.list;errorreporting.groupMetadata.get;errorreporting.groups.list
roles/errorreporting.writer,errorreporting.errorEvents.create
roles/file.editor,file.instances.create;file.instances.delete;file.instances.get;file.instances.list;file.instances.restore;file.instances.update;file.locations.get;file.locations.list;file.operations.cancel;file.operations.delete;file.operations.get;file.operations.list;file.snapshots.create;file.snapshots.delete;file.snapshots.get;file.snapshots.list;file.snapshots.update
roles/file.serviceAgent,compute.globalOperations.get;compute.networks.addPeering;compute.networks.get;compute.networks.removePeering;compute.networks.update;compute.routes.list;monitoring.metricDescriptors.create;monitoring.metricDescriptors.get;monitoring.metricDescriptors.list;monitoring.monitoredResourceDescriptors.get;monitoring.monitoredResourceDescriptors.list;monitoring.timeSeries.create;resourcemanager.projects.get;resourcemanager.projects.list
roles/file.viewer,file.instances.get;file.instances.list;file.locations.get;file.locations.list;file.operations.get;file.operations.list;file.snapshots.get;file.snapshots.list
roles/firebaseabt.admin,firebase.clients.get;firebase.projects.get;firebaseabt.experimentresults.get;firebaseabt.experiments.create;firebaseabt.experiments.delete;firebaseabt.experiments.get;firebaseabt.experiments.list;firebaseabt.experiments.update;firebaseabt.projectmetadata.get;resourcemanager.projects.get;resourcemanager.projects.list
roles/firebaseabt.viewer,firebase.clients.get;firebase.projects.get;firebaseabt.experimentresults.get;firebaseabt.experiments.get;firebaseabt.experiments.list;firebaseabt.projectmetadata.get;resourcemanager.projects.get;resourcemanager.projects.list
roles/firebase.admin,appengine.applications.get;automl.annotationSpecs.create;automl.annotationSpecs.delete;automl.annotationSpecs.get;automl.annotationSpecs.list;automl.annotationSpecs.update;automl.annotations.approve;automl.annotations.create;automl.annotations.list;automl.annotations.manipulate;automl.annotations.reject;automl.columnSpecs.get;automl.columnSpecs.list;automl.columnSpecs.update;automl.datasets.create;automl.datasets.delete;automl.datasets.export;automl.datasets.get;automl.datasets.getIamPolicy;automl.datasets.import;automl.datasets.list;automl.datasets.setIamPolicy;automl.datasets.update;automl.examples.delete;automl.examples.get;automl.examples.list;automl.humanAnnotationTasks.create;automl.humanAnnotationTasks.delete;automl.humanAnnotationTasks.get;automl.humanAnnotationTasks.list;automl.locations.get;automl.locations.getIamPolicy;automl.locations.list;automl.locations.setIamPolicy;automl.modelEvaluations.create;automl.modelEvaluations.get;automl.modelEvaluations.list;automl.models.create;automl.models.delete;automl.models.deploy;automl.models.export;automl.models.get;automl.models.getIamPolicy;automl.models.list;automl.models.predict;automl.models.setIamPolicy;automl.models.undeploy;automl.operations.cancel;automl.operations.delete;automl.operations.get;automl.operations.list;automl.tableSpecs.get;automl.tableSpecs.list;automl.tableSpecs.update;clientauthconfig.brands.get;clientauthconfig.brands.list;clientauthconfig.brands.update;clientauthconfig.clients.create;clientauthconfig.clients.delete;clientauthconfig.clients.get;clientauthconfig.clients.list;clientauthconfig.clients.update;cloudconfig.configs.get;cloudconfig.configs.update;cloudfunctions.functions.call;cloudfunctions.functions.create;cloudfunctions.functions.delete;cloudfunctions.functions.get;cloudfunctions.functions.getIamPolicy;cloudfunctions.functions.invoke;cloudfunctions.functions.list;cloudfunctions.functions.setIamPolicy;cloudfunctions.functions.sourceCodeGet;cloudfunctions.functions.sourceCodeSet;cloudfunctions.functions.update;cloudfunctions.locations.list;cloudfunctions.operations.get;cloudfunctions.operations.list;cloudmessaging.messages.create;cloudnotifications.activities.list;cloudtestservice.environmentcatalog.get;cloudtestservice.matrices.create;cloudtestservice.matrices.get;cloudtestservice.matrices.update;cloudtoolresults.executions.create;cloudtoolresults.executions.get;cloudtoolresults.executions.list;cloudtoolresults.executions.update;cloudtoolresults.histories.create;cloudtoolresults.histories.get;cloudtoolresults.histories.list;cloudtoolresults.settings.create;cloudtoolresults.settings.get;cloudtoolresults.settings.update;cloudtoolresults.steps.create;cloudtoolresults.steps.get;cloudtoolresults.steps.list;cloudtoolresults.steps.update;datastore.databases.create;datastore.databases.delete;datastore.databases.export;datastore.databases.get;datastore.databases.getIamPolicy;datastore.databases.import;datastore.databases.list;datastore.databases.setIamPolicy;datastore.databases.update;datastore.entities.allocateIds;datastore.entities.create;datastore.entities.delete;datastore.entities.get;datastore.entities.list;datastore.entities.update;datastore.indexes.create;datastore.indexes.delete;datastore.indexes.get;datastore.indexes.list;datastore.indexes.update;datastore.locations.get;datastore.locations.list;datastore.namespaces.get;datastore.namespaces.getIamPolicy;datastore.namespaces.list;datastore.namespaces.setIamPolicy;datastore.operations.cancel;datastore.operations.delete;datastore.operations.get;datastore.operations.list;datastore.statistics.get;datastore.statistics.list;errorreporting.groups.list;firebase.billingPlans.get;firebase.billingPlans.update;firebase.clients.create;firebase.clients.delete;firebase.clients.get;firebase.links.create;firebase.links.delete;firebase.links.list;firebase.links.update;firebase.projects.delete;firebase.projects.get;firebase.projects.update;firebaseabt.experimentresults.get;firebaseabt.experiments.create;firebaseabt.experiments.delete;firebaseabt.experiments.get;firebaseabt.experiments.list;firebaseabt.experiments.update;firebaseabt.projectmetadata.get;firebaseanalytics.resources.googleAnalyticsEdit;firebaseanalytics.resources.googleAnalyticsReadAndAnalyze;firebaseappdistro.groups.list;firebaseappdistro.groups.update;firebaseappdistro.releases.list;firebaseappdistro.releases.update;firebaseappdistro.testers.list;firebaseappdistro.testers.update;firebaseauth.configs.create;firebaseauth.configs.get;firebaseauth.configs.getHashConfig;firebaseauth.configs.update;firebaseauth.users.create;firebaseauth.users.createSession;firebaseauth.users.delete;firebaseauth.users.get;firebaseauth.users.sendEmail;firebaseauth.users.update;firebasecrash.issues.update;firebasecrash.reports.get;firebasecrashlytics.config.get;firebasecrashlytics.config.update;firebasecrashlytics.data.get;firebasecrashlytics.issues.get;firebasecrashlytics.issues.list;firebasecrashlytics.issues.update;firebasecrashlytics.sessions.get;firebasedatabase.instances.create;firebasedatabase.instances.get;firebasedatabase.instances.list;firebasedatabase.instances.update;firebasedynamiclinks.destinations.list;firebasedynamiclinks.destinations.update;firebasedynamiclinks.domains.create;firebasedynamiclinks.domains.delete;firebasedynamiclinks.domains.get;firebasedynamiclinks.domains.list;firebasedynamiclinks.domains.update;firebasedynamiclinks.links.create;firebasedynamiclinks.links.get;firebasedynamiclinks.links.list;firebasedynamiclinks.links.update;firebasedynamiclinks.stats.get;firebaseextensions.configs.create;firebaseextensions.configs.delete;firebaseextensions.configs.list;firebaseextensions.configs.update;firebasehosting.sites.create;firebasehosting.sites.delete;firebasehosting.sites.get;firebasehosting.sites.list;firebasehosting.sites.update;firebaseinappmessaging.campaigns.create;firebaseinappmessaging.campaigns.delete;firebaseinappmessaging.campaigns.get;firebaseinappmessaging.campaigns.list;firebaseinappmessaging.campaigns.update;firebaseml.compressionjobs.create;firebaseml.compressionjobs.delete;firebaseml.compressionjobs.get;firebaseml.compressionjobs.list;firebaseml.compressionjobs.start;firebaseml.compressionjobs.update;firebaseml.models.create;firebaseml.models.delete;firebaseml.models.get;firebaseml.models.list;firebaseml.modelversions.create;firebaseml.modelversions.get;firebaseml.modelversions.list;firebaseml.modelversions.update;firebasenotifications.messages.create;firebasenotifications.messages.delete;firebasenotifications.messages.get;firebasenotifications.messages.list;firebasenotifications.messages.update;firebaseperformance.config.create;firebaseperformance.config.delete;firebaseperformance.config.update;firebaseperformance.data.get;firebasepredictions.predictions.create;firebasepredictions.predictions.delete;firebasepredictions.predictions.list;firebasepredictions.predictions.update;firebaserules.releases.create;firebaserules.releases.delete;firebaserules.releases.get;firebaserules.releases.getExecutable;firebaserules.releases.list;firebaserules.releases.update;firebaserules.rulesets.create;firebaserules.rulesets.delete;firebaserules.rulesets.get;firebaserules.rulesets.list;firebaserules.rulesets.test;logging.logEntries.list;monitoring.timeSeries.list;resourcemanager.projects.get;resourcemanager.projects.getIamPolicy;resourcemanager.projects.list;runtimeconfig.configs.create;runtimeconfig.configs.delete;runtimeconfig.configs.get;runtimeconfig.configs.list;runtimeconfig.configs.update;runtimeconfig.operations.get;runtimeconfig.operations.list;runtimeconfig.variables.create;runtimeconfig.variables.delete;runtimeconfig.variables.get;runtimeconfig.variables.list;runtimeconfig.variables.update;runtimeconfig.variables.watch;runtimeconfig.waiters.create;runtimeconfig.waiters.delete;runtimeconfig.waiters.get;runtimeconfig.waiters.list;runtimeconfig.waiters.update;serviceusage.apiKeys.get;serviceusage.apiKeys.getProjectForKey;serviceusage.apiKeys.list;serviceusage.operations.get;serviceusage.operations.list;serviceusage.quotas.get;serviceusage.services.get;serviceusage.services.list;storage.buckets.create;storage.buckets.delete;storage.buckets.get;storage.buckets.getIamPolicy;storage.buckets.list;storage.buckets.setIamPolicy;storage.buckets.update;storage.objects.create;storage.objects.delete;storage.objects.get;storage.objects.getIamPolicy;storage.objects.list;storage.objects.setIamPolicy;storage.objects.update
roles/firebase.analyticsAdmin,cloudnotifications.activities.list;firebase.billingPlans.get;firebase.clients.get;firebase.links.list;firebase.projects.get;firebaseanalytics.resources.googleAnalyticsEdit;firebaseanalytics.resources.googleAnalyticsReadAndAnalyze;firebaseextensions.configs.list;resourcemanager.projects.get;resourcemanager.projects.getIamPolicy;resourcemanager.projects.list
roles/firebase.analyticsViewer,cloudnotifications.activities.list;firebase.billingPlans.get;firebase.clients.get;firebase.links.list;firebase.projects.get;firebaseanalytics.resources.googleAnalyticsReadAndAnalyze;firebaseextensions.configs.list;resourcemanager.projects.get;resourcemanager.projects.getIamPolicy;resourcemanager.projects.list
roles/firebaseappdistro.admin,firebase.clients.get;firebase.projects.get;firebaseappdistro.groups.list;firebaseappdistro.groups.update;firebaseappdistro.releases.list;firebaseappdistro.releases.update;firebaseappdistro.testers.list;firebaseappdistro.testers.update;resourcemanager.projects.get;resourcemanager.projects.list
roles/firebaseappdistro.viewer,firebase.clients.get;firebase.projects.get;firebaseappdistro.groups.list;firebaseappdistro.releases.list;firebaseappdistro.testers.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/firebaseauth.admin,firebase.clients.get;firebase.projects.get;firebaseauth.configs.create;firebaseauth.configs.get;firebaseauth.configs.getHashConfig;firebaseauth.configs.update;firebaseauth.users.create;firebaseauth.users.createSession;firebaseauth.users.delete;firebaseauth.users.get;firebaseauth.users.sendEmail;firebaseauth.users.update;resourcemanager.projects.get;resourcemanager.projects.list
roles/firebaseauth.viewer,firebase.clients.get;firebase.projects.get;firebaseauth.configs.get;firebaseauth.users.get;resourcemanager.projects.get;resourcemanager.projects.list
roles/firebasecrashlytics.admin,firebase.clients.get;firebase.projects.get;firebasecrashlytics.config.get;firebasecrashlytics.config.update;firebasecrashlytics.data.get;firebasecrashlytics.issues.get;firebasecrashlytics.issues.list;firebasecrashlytics.issues.update;firebasecrashlytics.sessions.get;resourcemanager.projects.get;resourcemanager.projects.list
roles/firebasecrashlytics.viewer,firebase.clients.get;firebase.projects.get;firebasecrashlytics.config.get;firebasecrashlytics.data.get;firebasecrashlytics.issues.get;firebasecrashlytics.issues.list;firebasecrashlytics.sessions.get;resourcemanager.projects.get;resourcemanager.projects.list
roles/firebasecrash.symbolMappingsAdmin,firebase.clients.get;resourcemanager.projects.get
roles/firebasedatabase.admin,firebase.clients.get;firebase.projects.get;firebasedatabase.instances.create;firebasedatabase.instances.get;firebasedatabase.instances.list;firebasedatabase.instances.update;resourcemanager.projects.get;resourcemanager.projects.list
roles/firebasedatabase.viewer,firebase.clients.get;firebase.projects.get;firebasedatabase.instances.get;firebasedatabase.instances.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/firebase.developAdmin,appengine.applications.get;automl.annotationSpecs.create;automl.annotationSpecs.delete;automl.annotationSpecs.get;automl.annotationSpecs.list;automl.annotationSpecs.update;automl.annotations.approve;automl.annotations.create;automl.annotations.list;automl.annotations.manipulate;automl.annotations.reject;automl.columnSpecs.get;automl.columnSpecs.list;automl.columnSpecs.update;automl.datasets.create;automl.datasets.delete;automl.datasets.export;automl.datasets.get;automl.datasets.getIamPolicy;automl.datasets.import;automl.datasets.list;automl.datasets.setIamPolicy;automl.datasets.update;automl.examples.delete;automl.examples.get;automl.examples.list;automl.humanAnnotationTasks.create;automl.humanAnnotationTasks.delete;automl.humanAnnotationTasks.get;automl.humanAnnotationTasks.list;automl.locations.get;automl.locations.getIamPolicy;automl.locations.list;automl.locations.setIamPolicy;automl.modelEvaluations.create;automl.modelEvaluations.get;automl.modelEvaluations.list;automl.models.create;automl.models.delete;automl.models.deploy;automl.models.export;automl.models.get;automl.models.getIamPolicy;automl.models.list;automl.models.predict;automl.models.setIamPolicy;automl.models.undeploy;automl.operations.cancel;automl.operations.delete;automl.operations.get;automl.operations.list;automl.tableSpecs.get;automl.tableSpecs.list;automl.tableSpecs.update;clientauthconfig.brands.get;clientauthconfig.brands.list;clientauthconfig.brands.update;clientauthconfig.clients.get;clientauthconfig.clients.list;cloudfunctions.functions.call;cloudfunctions.functions.create;cloudfunctions.functions.delete;cloudfunctions.functions.get;cloudfunctions.functions.getIamPolicy;cloudfunctions.functions.invoke;cloudfunctions.functions.list;cloudfunctions.functions.setIamPolicy;cloudfunctions.functions.sourceCodeGet;cloudfunctions.functions.sourceCodeSet;cloudfunctions.functions.update;cloudfunctions.locations.list;cloudfunctions.operations.get;cloudfunctions.operations.list;cloudnotifications.activities.list;datastore.databases.create;datastore.databases.delete;datastore.databases.export;datastore.databases.get;datastore.databases.getIamPolicy;datastore.databases.import;datastore.databases.list;datastore.databases.setIamPolicy;datastore.databases.update;datastore.entities.allocateIds;datastore.entities.create;datastore.entities.delete;datastore.entities.get;datastore.entities.list;datastore.entities.update;datastore.indexes.create;datastore.indexes.delete;datastore.indexes.get;datastore.indexes.list;datastore.indexes.update;datastore.locations.get;datastore.locations.list;datastore.namespaces.get;datastore.namespaces.getIamPolicy;datastore.namespaces.list;datastore.namespaces.setIamPolicy;datastore.operations.cancel;datastore.operations.delete;datastore.operations.get;datastore.operations.list;datastore.statistics.get;datastore.statistics.list;errorreporting.groups.list;firebase.billingPlans.get;firebase.clients.get;firebase.links.list;firebase.projects.get;firebaseanalytics.resources.googleAnalyticsEdit;firebaseanalytics.resources.googleAnalyticsReadAndAnalyze;firebaseauth.configs.create;firebaseauth.configs.get;firebaseauth.configs.getHashConfig;firebaseauth.configs.update;firebaseauth.users.create;firebaseauth.users.createSession;firebaseauth.users.delete;firebaseauth.users.get;firebaseauth.users.sendEmail;firebaseauth.users.update;firebasedatabase.instances.create;firebasedatabase.instances.get;firebasedatabase.instances.list;firebasedatabase.instances.update;firebaseextensions.configs.list;firebasehosting.sites.create;firebasehosting.sites.delete;firebasehosting.sites.get;firebasehosting.sites.list;firebasehosting.sites.update;firebaseml.compressionjobs.create;firebaseml.compressionjobs.delete;firebaseml.compressionjobs.get;firebaseml.compressionjobs.list;firebaseml.compressionjobs.start;firebaseml.compressionjobs.update;firebaseml.models.create;firebaseml.models.delete;firebaseml.models.get;firebaseml.models.list;firebaseml.modelversions.create;firebaseml.modelversions.get;firebaseml.modelversions.list;firebaseml.modelversions.update;firebaserules.releases.create;firebaserules.releases.delete;firebaserules.releases.get;firebaserules.releases.getExecutable;firebaserules.releases.list;firebaserules.releases.update;firebaserules.rulesets.create;firebaserules.rulesets.delete;firebaserules.rulesets.get;firebaserules.rulesets.list;firebaserules.rulesets.test;logging.logEntries.list;monitoring.timeSeries.list;resourcemanager.projects.get;resourcemanager.projects.getIamPolicy;resourcemanager.projects.list;runtimeconfig.configs.create;runtimeconfig.configs.delete;runtimeconfig.configs.get;runtimeconfig.configs.list;runtimeconfig.configs.update;runtimeconfig.operations.get;runtimeconfig.operations.list;runtimeconfig.variables.create;runtimeconfig.variables.delete;runtimeconfig.variables.get;runtimeconfig.variables.list;runtimeconfig.variables.update;runtimeconfig.variables.watch;runtimeconfig.waiters.create;runtimeconfig.waiters.delete;runtimeconfig.waiters.get;runtimeconfig.waiters.list;runtimeconfig.waiters.update;serviceusage.apiKeys.get;serviceusage.apiKeys.getProjectForKey;serviceusage.apiKeys.list;serviceusage.operations.get;serviceusage.operations.list;serviceusage.quotas.get;serviceusage.services.get;serviceusage.services.list;storage.buckets.create;storage.buckets.delete;storage.buckets.get;storage.buckets.getIamPolicy;storage.buckets.list;storage.buckets.setIamPolicy;storage.buckets.update;storage.objects.create;storage.objects.delete;storage.objects.get;storage.objects.getIamPolicy;storage.objects.list;storage.objects.setIamPolicy;storage.objects.update
roles/firebase.developViewer,automl.annotationSpecs.get;automl.annotationSpecs.list;automl.annotations.list;automl.columnSpecs.get;automl.columnSpecs.list;automl.datasets.get;automl.datasets.list;automl.examples.get;automl.examples.list;automl.humanAnnotationTasks.get;automl.humanAnnotationTasks.list;automl.locations.get;automl.locations.list;automl.modelEvaluations.get;automl.modelEvaluations.list;automl.models.get;automl.models.list;automl.operations.get;automl.operations.list;automl.tableSpecs.get;automl.tableSpecs.list;clientauthconfig.brands.get;clientauthconfig.brands.list;cloudfunctions.functions.get;cloudfunctions.functions.list;cloudfunctions.locations.list;cloudfunctions.operations.get;cloudfunctions.operations.list;cloudnotifications.activities.list;datastore.databases.get;datastore.databases.getIamPolicy;datastore.databases.list;datastore.entities.get;datastore.entities.list;datastore.indexes.get;datastore.indexes.list;datastore.namespaces.get;datastore.namespaces.getIamPolicy;datastore.namespaces.list;datastore.statistics.get;datastore.statistics.list;errorreporting.groups.list;firebase.billingPlans.get;firebase.clients.get;firebase.links.list;firebase.projects.get;firebaseanalytics.resources.googleAnalyticsReadAndAnalyze;firebaseauth.configs.get;firebaseauth.users.get;firebasedatabase.instances.get;firebasedatabase.instances.list;firebaseextensions.configs.list;firebasehosting.sites.get;firebasehosting.sites.list;firebaseml.compressionjobs.get;firebaseml.compressionjobs.list;firebaseml.models.get;firebaseml.models.list;firebaseml.modelversions.get;firebaseml.modelversions.list;firebaserules.releases.get;firebaserules.releases.list;firebaserules.rulesets.get;firebaserules.rulesets.list;logging.logEntries.list;monitoring.timeSeries.list;resourcemanager.projects.get;resourcemanager.projects.getIamPolicy;resourcemanager.projects.list;serviceusage.operations.get;serviceusage.operations.list;serviceusage.quotas.get;serviceusage.services.get;serviceusage.services.list;storage.buckets.get;storage.buckets.getIamPolicy;storage.buckets.list;storage.objects.get;storage.objects.getIamPolicy;storage.objects.list
roles/firebasedynamiclinks.admin,firebase.clients.get;firebase.projects.get;firebasedynamiclinks.destinations.list;firebasedynamiclinks.destinations.update;firebasedynamiclinks.domains.create;firebasedynamiclinks.domains.delete;firebasedynamiclinks.domains.get;firebasedynamiclinks.domains.list;firebasedynamiclinks.domains.update;firebasedynamiclinks.links.create;firebasedynamiclinks.links.get;firebasedynamiclinks.links.list;firebasedynamiclinks.links.update;firebasedynamiclinks.stats.get;resourcemanager.projects.get;resourcemanager.projects.list
roles/firebasedynamiclinks.viewer,firebase.clients.get;firebase.projects.get;firebasedynamiclinks.destinations.list;firebasedynamiclinks.domains.get;firebasedynamiclinks.domains.list;firebasedynamiclinks.links.get;firebasedynamiclinks.links.list;firebasedynamiclinks.stats.get;resourcemanager.projects.get;resourcemanager.projects.list
roles/firebase.growthAdmin,clientauthconfig.clients.get;clientauthconfig.clients.list;cloudconfig.configs.get;cloudconfig.configs.update;cloudmessaging.messages.create;cloudnotifications.activities.list;firebase.billingPlans.get;firebase.clients.get;firebase.links.list;firebase.projects.get;firebaseabt.experimentresults.get;firebaseabt.experiments.create;firebaseabt.experiments.delete;firebaseabt.experiments.get;firebaseabt.experiments.list;firebaseabt.experiments.update;firebaseabt.projectmetadata.get;firebaseanalytics.resources.googleAnalyticsEdit;firebaseanalytics.resources.googleAnalyticsReadAndAnalyze;firebasedynamiclinks.destinations.list;firebasedynamiclinks.destinations.update;firebasedynamiclinks.domains.create;firebasedynamiclinks.domains.delete;firebasedynamiclinks.domains.get;firebasedynamiclinks.domains.list;firebasedynamiclinks.domains.update;firebasedynamiclinks.links.create;firebasedynamiclinks.links.get;firebasedynamiclinks.links.list;firebasedynamiclinks.links.update;firebasedynamiclinks.stats.get;firebaseextensions.configs.list;firebaseinappmessaging.campaigns.create;firebaseinappmessaging.campaigns.delete;firebaseinappmessaging.campaigns.get;firebaseinappmessaging.campaigns.list;firebaseinappmessaging.campaigns.update;firebasenotifications.messages.create;firebasenotifications.messages.delete;firebasenotifications.messages.get;firebasenotifications.messages.list;firebasenotifications.messages.update;firebasepredictions.predictions.create;firebasepredictions.predictions.delete;firebasepredictions.predictions.list;firebasepredictions.predictions.update;monitoring.timeSeries.list;resourcemanager.projects.get;resourcemanager.projects.getIamPolicy;resourcemanager.projects.list;serviceusage.operations.get;serviceusage.operations.list;serviceusage.quotas.get;serviceusage.services.get;serviceusage.services.list
roles/firebase.growthViewer,cloudconfig.configs.get;cloudnotifications.activities.list;firebase.billingPlans.get;firebase.clients.get;firebase.links.list;firebase.projects.get;firebaseabt.experimentresults.get;firebaseabt.experiments.get;firebaseabt.experiments.list;firebaseabt.projectmetadata.get;firebaseanalytics.resources.googleAnalyticsReadAndAnalyze;firebasedynamiclinks.destinations.list;firebasedynamiclinks.domains.get;firebasedynamiclinks.domains.list;firebasedynamiclinks.links.get;firebasedynamiclinks.links.list;firebasedynamiclinks.stats.get;firebaseextensions.configs.list;firebaseinappmessaging.campaigns.get;firebaseinappmessaging.campaigns.list;firebasenotifications.messages.get;firebasenotifications.messages.list;firebasepredictions.predictions.list;monitoring.timeSeries.list;resourcemanager.projects.get;resourcemanager.projects.getIamPolicy;resourcemanager.projects.list;serviceusage.operations.get;serviceusage.operations.list;serviceusage.quotas.get;serviceusage.services.get;serviceusage.services.list
roles/firebasehosting.admin,firebase.clients.get;firebase.projects.get;firebasehosting.sites.create;firebasehosting.sites.delete;firebasehosting.sites.get;firebasehosting.sites.list;firebasehosting.sites.update;resourcemanager.projects.get;resourcemanager.projects.list
roles/firebasehosting.viewer,firebase.clients.get;firebase.projects.get;firebasehosting.sites.get;firebasehosting.sites.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/firebaseinappmessaging.admin,firebase.clients.get;firebase.projects.get;firebaseinappmessaging.campaigns.create;firebaseinappmessaging.campaigns.delete;firebaseinappmessaging.campaigns.get;firebaseinappmessaging.campaigns.list;firebaseinappmessaging.campaigns.update;resourcemanager.projects.get;resourcemanager.projects.list
roles/firebaseinappmessaging.viewer,firebase.clients.get;firebase.projects.get;firebaseinappmessaging.campaigns.get;firebaseinappmessaging.campaigns.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/firebase.managementServiceAgent,appengine.applications.create;appengine.applications.get;appengine.applications.update;appengine.operations.get;appengine.services.list;clientauthconfig.brands.create;clientauthconfig.brands.update;clientauthconfig.clients.create;clientauthconfig.clients.getWithSecret;clientauthconfig.clients.list;clientauthconfig.clients.update;firebase.clients.create;firebase.clients.delete;firebase.clients.get;firebase.projects.delete;firebase.projects.get;firebase.projects.update;firebaseauth.configs.get;firebaseauth.configs.update;firebaserules.releases.create;firebaserules.releases.delete;firebaserules.releases.get;firebaserules.rulesets.create;iam.serviceAccounts.create;iam.serviceAccounts.get;iam.serviceAccounts.list;resourcemanager.organizations.get;resourcemanager.projects.get;resourcemanager.projects.getIamPolicy;resourcemanager.projects.setIamPolicy;resourcemanager.projects.update;servicemanagement.services.bind;serviceusage.apiKeys.create;serviceusage.apiKeys.get;serviceusage.apiKeys.list;serviceusage.apiKeys.update;serviceusage.services.enable;serviceusage.services.get;storage.buckets.create;storage.buckets.get;storage.buckets.getIamPolicy;storage.buckets.setIamPolicy
roles/firebaseml.admin,firebase.clients.get;firebase.projects.get;firebaseml.compressionjobs.create;firebaseml.compressionjobs.delete;firebaseml.compressionjobs.get;firebaseml.compressionjobs.list;firebaseml.compressionjobs.start;firebaseml.compressionjobs.update;firebaseml.models.create;firebaseml.models.delete;firebaseml.models.get;firebaseml.models.list;firebaseml.modelversions.create;firebaseml.modelversions.get;firebaseml.modelversions.list;firebaseml.modelversions.update;resourcemanager.projects.get;resourcemanager.projects.list
roles/firebaseml.viewer,firebase.clients.get;firebase.projects.get;firebaseml.compressionjobs.get;firebaseml.compressionjobs.list;firebaseml.models.get;firebaseml.models.list;firebaseml.modelversions.get;firebaseml.modelversions.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/firebasenotifications.admin,firebase.clients.get;firebase.projects.get;firebasenotifications.messages.create;firebasenotifications.messages.delete;firebasenotifications.messages.get;firebasenotifications.messages.list;firebasenotifications.messages.update;resourcemanager.projects.get;resourcemanager.projects.list
roles/firebasenotifications.viewer,firebase.clients.get;firebase.projects.get;firebasenotifications.messages.get;firebasenotifications.messages.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/firebaseperformance.admin,firebase.clients.get;firebase.projects.get;firebaseperformance.config.create;firebaseperformance.config.delete;firebaseperformance.config.update;firebaseperformance.data.get;resourcemanager.projects.get;resourcemanager.projects.list
roles/firebaseperformance.viewer,firebase.clients.get;firebase.projects.get;firebaseperformance.data.get;resourcemanager.projects.get;resourcemanager.projects.list
roles/firebasepredictions.admin,firebase.clients.get;firebase.projects.get;firebasepredictions.predictions.create;firebasepredictions.predictions.delete;firebasepredictions.predictions.list;firebasepredictions.predictions.update;resourcemanager.projects.get;resourcemanager.projects.list
roles/firebasepredictions.viewer,firebase.clients.get;firebase.projects.get;firebasepredictions.predictions.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/firebase.qualityAdmin,cloudnotifications.activities.list;firebase.billingPlans.get;firebase.clients.get;firebase.links.list;firebase.projects.get;firebaseanalytics.resources.googleAnalyticsEdit;firebaseanalytics.resources.googleAnalyticsReadAndAnalyze;firebaseappdistro.groups.list;firebaseappdistro.groups.update;firebaseappdistro.releases.list;firebaseappdistro.releases.update;firebaseappdistro.testers.list;firebaseappdistro.testers.update;firebasecrash.issues.update;firebasecrash.reports.get;firebasecrashlytics.config.get;firebasecrashlytics.config.update;firebasecrashlytics.data.get;firebasecrashlytics.issues.get;firebasecrashlytics.issues.list;firebasecrashlytics.issues.update;firebasecrashlytics.sessions.get;firebaseextensions.configs.list;firebaseperformance.config.create;firebaseperformance.config.delete;firebaseperformance.config.update;firebaseperformance.data.get;monitoring.timeSeries.list;resourcemanager.projects.get;resourcemanager.projects.getIamPolicy;resourcemanager.projects.list;serviceusage.operations.get;serviceusage.operations.list;serviceusage.quotas.get;serviceusage.services.get;serviceusage.services.list
roles/firebase.qualityViewer,cloudnotifications.activities.list;firebase.billingPlans.get;firebase.clients.get;firebase.links.list;firebase.projects.get;firebaseanalytics.resources.googleAnalyticsReadAndAnalyze;firebaseappdistro.groups.list;firebaseappdistro.releases.list;firebaseappdistro.testers.list;firebasecrash.reports.get;firebasecrashlytics.config.get;firebasecrashlytics.data.get;firebasecrashlytics.issues.get;firebasecrashlytics.issues.list;firebasecrashlytics.sessions.get;firebaseextensions.configs.list;firebaseperformance.data.get;monitoring.timeSeries.list;resourcemanager.projects.get;resourcemanager.projects.getIamPolicy;resourcemanager.projects.list;serviceusage.operations.get;serviceusage.operations.list;serviceusage.quotas.get;serviceusage.services.get;serviceusage.services.list
